Plugin id,Path,Community,Needs to be split?,Third Party Repo URL,Custom URL,Version in third party repo,Version in our repo,Third Party Commit Hash,Last commit hash on monorepo,In sync,,URL
block_wds_sportsgrades,/blocks/wds_sportsgrades,No,,,https://github.com/lsuonline/moodle-block_wds_sportsgrades,2025080800,2025080800,4fe7596ae3cde33aeea406da362482fccfe026af,9e07e16f4598c73b7501875a7cadbbc30b89d5ff,Yes,,https://github.com/lsuonline/moodle-block_wds_sportsgrades
block_wdsprefs,/blocks/wdsprefs,No,,,https://github.com/lsuonline/moodle-block_wdsprefs,2026012600,2026012600,5096feb8f423240341143bbe1553fe91457d7bc8,94dcc14519de235c717c42f0b458f8edfdaab501,Yes,,https://github.com/lsuonline/moodle-block_wdsprefs
qtype_essayautograde,/question/type/essayautograde,Yes,,https://github.com/gbateson/moodle-qtype_essayautograde,,2025041443,2025041443,8e3a018436083649990f0989fba66a4673ace9a9,,Yes,,https://github.com/gbateson/moodle-qtype_essayautograde
qtype_essaywiris,/question/type/essaywiris,Yes,,https://github.com/wiris/moodle-qtype_essaywiris,,2026021900,2025042904,2321c57f191c7cb5e787c2f9dce8b7cad06e742e,,No,,https://github.com/wiris/moodle-qtype_essaywiris
qtype_gapfill,/question/type/gapfill,Yes,,https://github.com/marcusgreen/moodle-qtype_gapfill,,2026020900,2026012200,a8052e25269008d1684bcf210075fe59bb82a01a,dd6c217d3f3d384aa6aa83af6ffe2a40d290425e,No,,https://github.com/marcusgreen/moodle-qtype_gapfill
qtype_matchwiris,/question/type/matchwiris,Yes,,https://github.com/wiris/moodle-qtype_matchwiris,,2026021900,2025042904,366ca0fd0417ecca566ca84e4cfcbf3c58df5ad9,,No,,https://github.com/wiris/moodle-qtype_matchwiris
qtype_multianswerwiris,/question/type/multianswerwiris,Yes,,https://github.com/wiris/moodle-qtype_multianswerwiris,,2026021900,2025042904,4e42a43c0e8a0d1e4ed3c73ec481e096a6321a50,,No,,https://github.com/wiris/moodle-qtype_multianswerwiris
qtype_multichoicewiris,/question/type/multichoicewiris,Yes,,https://github.com/wiris/moodle-qtype_multichoicewiris,,2026021900,2025042904,485fa07f7c707b4f99aadd324a09e3d6807df678,,No,,https://github.com/wiris/moodle-qtype_multichoicewiris
qtype_oumultiresponse,/question/type/oumultiresponse,Yes,,https://github.com/moodleou/moodle-qtype_oumultiresponse,,2025071500,2025071500,af53ba65e8d4a7288ef47cce2a77b5d6a0c26924,af53ba65e8d4a7288ef47cce2a77b5d6a0c26924,Yes,,https://github.com/moodleou/moodle-qtype_oumultiresponse
qtype_regexp,/question/type/regexp,Yes,,https://github.com/rezeau/moodle-qtype_regexp,,2025050200,2025050200,912eb08eef438fca3b8096b18a27506b1abea000,912eb08eef438fca3b8096b18a27506b1abea000,Yes,,https://github.com/rezeau/moodle-qtype_regexp
qtype_shortanswerwiris,/question/type/shortanswerwiris,Yes,,https://github.com/wiris/moodle-qtype_shortanswerwiris,,2026021900,2025042904,f18b87fba0047dcb58ad68d7518bff7d98833eae,,No,,https://github.com/wiris/moodle-qtype_shortanswerwiris
qtype_truefalsewiris,/question/type/truefalsewiris,Yes,,https://github.com/wiris/moodle-qtype_truefalsewiris,,2026021900,2025042904,c5f5464c32fbea37f5bbcb9638fdbf0388d27604,,No,,https://github.com/wiris/moodle-qtype_truefalsewiris
qtype_wq,/question/type/wq,Yes,,https://github.com/wiris/moodle-qtype_wq,,2026021900,2025042904,1156cf7c0c85a22928cf2d11e570affab80b1ce6,,No,,https://github.com/wiris/moodle-qtype_wq
qbehaviour_deferredfeedbackexplain,/question/behaviour/deferredfeedbackexplain,Yes,,https://github.com/timhunt/moodle-qbehaviour_deferredfeedbackexplain,,2022032000,2022032000,c53b01b505389efabc8d0f987efc44507983e378,c53b01b505389efabc8d0f987efc44507983e378,Yes,,https://github.com/timhunt/moodle-qbehaviour_deferredfeedbackexplain
qbehaviour_regexpadaptivewithhelp,/question/behaviour/regexpadaptivewithhelp,Yes,,https://github.com/rezeau/moodle-qbehaviour_regexpadaptivewithhelp,,2024100800,2024100800,cecb9542e1fc58c3bbe24faef7500f44938b4a8c,cecb9542e1fc58c3bbe24faef7500f44938b4a8c,Yes,,https://github.com/rezeau/moodle-qbehaviour_regexpadaptivewithhelp
qbehaviour_regexpadaptivewithhelpnopenalty,/question/behaviour/regexpadaptivewithhelpnopenalty,Yes,,https://github.com/rezeau/moodle-qbehaviour_regexpadaptivewithhelpnopenalty,,2024100800,2024100800,94467990fd44bb558a8eda09cc3217a4a974381e,94467990fd44bb558a8eda09cc3217a4a974381e,Yes,,https://github.com/rezeau/moodle-qbehaviour_regexpadaptivewithhelpnopenalty
qformat_wordtable,/question/format/wordtable,Yes,,https://github.com/ecampbell/moodle-qformat_wordtable,,2025042400,2025042300,fe5a76de9b0e0dba62a80fac9b1cd0fe2c398446,215a928758f66742f0475499f3c63d3db5d66c89,No,,https://github.com/ecampbell/moodle-qformat_wordtable
